iter	Passed	Remaining
0	158	157989
1	162	81000
2	166	55383
3	170	42467
4	174	34711
5	178	29610
6	182	25940
7	187	23245
8	190	21014
9	193	19168
10	196	17639
11	198	16337
12	200	15229
13	202	14267
14	204	13411
15	205	12656
16	207	11989
17	208	11383
18	209	10831
19	211	10341
20	212	9904
21	213	9503
22	214	9127
23	215	8782
24	217	8478
25	218	8195
26	219	7923
27	221	7677
28	222	7439
29	223	7212
30	224	7003
31	224	6803
32	225	6617
33	226	6441
34	227	6275
35	228	6123
36	229	5981
37	230	5843
38	231	5711
39	232	5586
40	233	5464
41	234	5347
42	235	5236
43	236	5131
44	237	5031
45	237	4934
46	238	4840
47	239	4753
48	240	4668
49	241	4586
50	242	4509
51	243	4438
52	244	4371
53	245	4300
54	246	4233
55	247	4168
56	248	4105
57	248	4044
58	249	3985
59	250	3929
60	251	3873
61	252	3820
62	253	3768
63	254	3718
64	255	3670
65	256	3623
66	256	3578
67	257	3532
68	258	3492
69	259	3450
70	260	3409
71	261	3370
72	262	3331
73	263	3294
74	264	3258
75	265	3222
76	265	3187
77	266	3153
78	267	3120
79	268	3089
80	269	3058
81	270	3027
82	271	2998
83	272	2971
84	273	2940
85	274	2914
86	274	2883
87	275	2856
88	276	2830
89	277	2804
90	278	2779
91	279	2754
92	279	2730
93	280	2707
94	281	2683
95	282	2661
96	283	2639
97	284	2618
98	285	2597
99	286	2578
100	287	2560
101	288	2537
102	289	2517
103	290	2498
104	290	2479
105	291	2461
106	292	2443
107	293	2426
108	294	2408
109	295	2392
110	296	2375
111	297	2359
112	298	2343
113	299	2326
114	300	2310
115	301	2294
116	301	2279
117	302	2263
118	303	2247
119	304	2232
120	305	2218
121	306	2205
122	307	2188
123	308	2176
124	309	2164
125	310	2150
126	310	2137
127	311	2121
128	312	2108
129	313	2095
130	314	2083
131	315	2071
132	316	2060
133	317	2050
134	318	2038
135	318	2026
136	319	2014
137	320	2002
138	321	1990
139	322	1979
140	323	1968
141	323	1957
142	324	1946
143	325	1936
144	326	1925
145	327	1915
146	328	1904
147	329	1894
148	330	1885
149	331	1877
150	332	1869
151	333	1860
152	334	1850
153	335	1841
154	336	1832
155	337	1823
156	337	1814
157	338	1805
158	339	1796
159	340	1787
160	341	1778
161	342	1769
